"treatment","CBDA.n","CBDA.mean","CBDA.sd"
1,4,4.1910082795,1.10980064461734
2,4,5.5416778135,1.25799669801135
3,4,4.442698312,1.00829536987447
4,4,2.2510435975,1.28812989262471
5,4,3.57252263875,1.40247982543068
6,4,3.901606588,1.93534101430027
